ticker,cik,form,filingDate,accessionNumber,doc_type,event_type,confidence,snippet,doc_url,hits
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,EX-99.1,PDUFA,0.8500000000000001,"tudy were provided in September 2025, and a Biologics License Application (BLA) was submitted to the United States Food and Drug Administration (FDA) for marketing authorization; the goal Prescription Drug User Fee Act (PDUFA) date is November 14, 2026. HARMONi-3 is a Phase III clinical trial, which is intended to evaluate ivonescimab combined with chemotherapy compared to pembrolizumab combined with chemotherapy in patients with first-line",https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,8
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,8-K,PDUFA,0.8,"n combination with chemotherapy in patients with epidermal growth factor receptor-mutated locally advanced or metastatic non-squamous non-small cell lung cancer post-tyrosine kinase inhibitor therapy. The FDA provided a Prescription Drug User Fee Act goal action date of November 14, 2026. A copy of the press release is attached as Exhibit 99.1 to this Current Report on Form 8-K and is incorporated by reference herein. Item 9.01 Financial Statements and Exhibits. (d)",https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,2
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,EX-99.1,FILING_ACCEPTANCE,0.8,"ng Miami, Florida, January 29, 2026 &#8211; Summit Therapeutics Inc. (NASDAQ: SMMT) (&quot;Summit,&quot; &quot;we,&quot; or the &quot;Company&quot;) today announced that the U.S. Food &amp; Drug Administration (FDA) has accepted for filing Summit's Biologics License Application (BLA) seeking approval for ivonescimab in combination with chemotherapy in patients with epidermal growth factor receptor (EGFR)-mutated locally advanced or metastatic non-squamous",https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,1
PVLA,0001583648,8-K,2026-01-29,0001193125-26-029341,EX-99.1,NDA_BLA_SUBMISSION,0.75,r angiokeratomas Q1 2026: Phase 3 mLM SELVA topline data (March 2026) Potential Breakthrough Therapy Designation for cVMs (1H 2026) Submitting application following Jan &#x2019;26 BTD preliminary advice meeting with FDA NDA submitted to FDA for QTORIN&#153; rapamycin in mLMs (2H 2026) Phase 3 pivotal study initiated in cVMs (2H 2026) Phase 2 study initiated in clinically significant angiokeratomas (2H 2026) Phase 2 study initiated in DSAP* (2H 2026),https://www.sec.gov/Archives/edgar/data/1583648/0001193125-26-029341.txt,4
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,8-K,FILING_ACCEPTANCE,0.75,"ct. &#9744; &#160; Item 8.01 Other Events. On January 29, 2026, Summit Therapeutics Inc. (the &#8220;Company&#8221;) issued a press release announcing that the U.S. Food &amp; Drug Administration (&#8220;FDA&#8221;) has accepted for filing the Company's Biologics License Application seeking approval for ivonescimab in combination with chemotherapy in patients with epidermal growth factor receptor-mutated locally advanced or metastatic non-squamous non-sma",https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,1
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,EX-99.1,NDA_BLA_SUBMISSION,0.75,"advanced or metastatic non-squamous non- small cell lung cancer (NSCLC) post-tyrosine kinase inhibitor (TKI) therapy. The FDA provided a Prescription Drug User Fee Act (PDUFA) goal action date of November 14, 2026. The BLA was submitted based on the overall results of the Phase III HARMONi trial, which evaluated ivonescimab plus platinum-doublet chemotherapy compared to placebo plus platinum-doublet chemotherapy in patients with EGFR-mutated, locally a",https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,2
PVLA,0001583648,8-K,2026-01-29,0001193125-26-029341,EX-99.1,TOPLINE,0.7000000000000001,"apamycin begins to exert immunosuppressive effects Phase 3 SELVA Trial Design Single-arm, baseline-controlled, 24-week efficacy evaluation, QD dose, age 3+(1) 1. Patients ages 3-5 will be excluded from primary endpoint. Primary Endpoint: mLM-IGA (Investigator Global Assessment), a 7-point clinician change scale with similarities to CGI-C (used in Phase 2) Enrollment: n=51 patients (exceeded enrollment target of 40 patients) Sites: Palvella&#x2019;s Def",https://www.sec.gov/Archives/edgar/data/1583648/0001193125-26-029341.txt,6
QNCX,0001662774,8-K,2026-01-29,0001193125-26-029524,EX-99.1,TOPLINE,0.7000000000000001,"p;29, 2026 &#8211; &nbsp;Quince Therapeutics, Inc. (Nasdaq: QNCX), a late-stage biotechnology company dedicated to unlocking the power of a patient&#8217;s own biology for the treatment of rare diseases, today announced topline results from its pivotal Phase 3 NEAT clinical trial evaluating its lead asset, dexamethasone sodium phosphate encapsulated in autologous erythrocytes (eDSP), in patients with Ataxia-Telangiectasia (A-T). In the NEAT st",https://www.sec.gov/Archives/edgar/data/1662774/0001193125-26-029524.txt,4
LXRX,0001062822,8-K,2026-01-29,0001193125-26-029514,8-K,TOPLINE,0.65,"e 3 study evaluating sotagliflozin in hypertrophic cardiomyopathy (HCM) is targeting enrollment of 500 patients with both obstructive and non-obstructive HCM, with anticipated enrollment completion in mid-2026, and that topline results from the study are anticipated in the first quarter of 2027. ****** The Company previously announced that the FDA raised no objections to the advancement of pilavapadin into Phase 3 development for diabetic peri",https://www.sec.gov/Archives/edgar/data/1062822/0001193125-26-029514.txt,1
RGNX,0001590877,8-K,2026-01-28,0001193125-26-026139,EX-99.1,CLINICAL_HOLD,0.9,"; REGENXBIO Announces Regulatory Update on Ultra Rare MPS Programs &#160; ROCKVILLE, Md., January 28, 2026 &#x2013; REGENXBIO Inc. (Nasdaq: RGNX) today announced that the U.S. Food and Drug Administration (FDA) placed a clinical hold on its investigational gene therapy, RGX-111, for the treatment of MPS I, also known as Hurler syndrome, following preliminary analysis of a single case of neoplasm (intraventricular CNS tumor) in a participant treated",https://www.sec.gov/Archives/edgar/data/1590877/0001193125-26-026139.txt,3
SER,0001708599,8-K,2026-01-28,0001708599-26-000005,EX-99.1,CLINICAL_HOLD,0.9,"ithin the meaning of federal securities laws. All statements that are not historical fact, including statements about Serina&#8217;s planned clinical programs, including timing for first-patient-in and resolution of the clinical hold and customary regulatory and ethics approvals, the potential of Serina&#8217;s POZ polymer technology, are forward-looking statements that involve substantial risks and uncertainties that could cause actual results to d",https://www.sec.gov/Archives/edgar/data/1708599/0001708599-26-000005.txt,1
RGNX,0001590877,8-K,2026-01-28,0001193125-26-026139,8-K,CLINICAL_HOLD,0.85,ny&#8217;s Investigational New Drug applications for both its Phase I/II trial evaluating RGX-111 for Mucopolysaccharidosis type I and its Phase I/II/III trial of RGX-121 for Mucopolysaccharidosis type II were placed on clinical hold. A copy of the press release is filed herewith as Exhibit 99.1 to this Current Report on Form 8-K and incorporated herein by reference. Item 9.01. Financial Statements and Exhibits. (d) Exhibits Exhibit No. Description,https://www.sec.gov/Archives/edgar/data/1590877/0001193125-26-026139.txt,1
GRI,0001824293,8-K,2026-01-28,0001824293-26-000017,EX-99.1,TOPLINE,0.7000000000000001,"submit these new gene expression findings for presentation at a major medical conference. Consistent Signals Across the Entire Phase 2a Dataset Taken together, these new results reinforce and extend previously announced topline data, in which GRI-0621 treatment was observed to&#58; &#8226; Reduce lung injury and fibrosis progression &#8226; Suppress pro-fibrotic immune phenotypes &#8226; Increase markers of fibrosis resolution &#8226; Activate",https://www.sec.gov/Archives/edgar/data/1824293/0001824293-26-000017.txt,3
NTLA,0001652130,8-K,2026-01-27,0001193125-26-023387,EX-99.1,CLINICAL_HOLD,0.9,EX-99.1 Exhibit 99.1 &nbsp; Intellia Therapeutics Announces FDA Lift of Clinical Hold on MAGNITUDE-2 Phase 3 Clinical Trial in ATTRv-PN &nbsp; &nbsp; &#149; &nbsp; Plan to resume MAGNITUDE-2 patient enrollment and dosing &nbsp; &nbsp; &#149; &nbsp; FDA engagement ongoing regarding clinical hold on MAGNIT,https://www.sec.gov/Archives/edgar/data/1652130/0001193125-26-023387.txt,5
NTLA,0001652130,8-K,2026-01-27,0001193125-26-023387,8-K,CLINICAL_HOLD,0.85,"with clinical trial investigators, ethics committees, international regulatory authorities and other stakeholders to resume enrollment activities as quickly as possible; and its ability to engage with FDA regarding the clinical hold on the MAGNITUDE Phase 3 clinical trial and provide an update once alignment has been achieved on the path forward for this program. Any forward-looking statements in this current report on Form 8-K are based on managem",https://www.sec.gov/Archives/edgar/data/1652130/0001193125-26-023387.txt,6
CRDF,0001213037,8-K,2026-01-27,0001193125-26-024375,EX-99.1,ADCOM,0.75,"search analyst covering the biotechnology sector at UBS, Credit Suisse, and ThinkEquity. She currently serves on the Executive Advisory Board of the CLP Institute at Northwestern University and the Scientific Investment Advisory Committee of the Gates Institute at the University of Colorado. Dr. Mohindru holds a PhD in Neurosciences from Northwestern University, as well as a BS in Human Biology and a Master&#x2019;s degree in Biotechnology from the All I",https://www.sec.gov/Archives/edgar/data/1213037/0001193125-26-024375.txt,1
CRDF,0001213037,8-K,2026-01-27,0001193125-26-024375,EX-99.2,TOPLINE,0.7000000000000001,"tion with FOLFIRI/bev and we believe confirmatory data from a &#160; &#160; &#160; &#160; &#160; registrational trial has the potential to make this regimen a new SoC for 1L treatment of RAS-mutated mCRC.&#x201d; &#160; Topline Results in intent-to-treat (ITT) population, data cut-off as of January 22, 2026 Parameter SoC c (FOLFIRI/bev+FOLFOX/bev) (n=37) FOLFIRI/bev (n=19) Onv 20 mg +FOLFIRI/bev (n=18) Onv 30 mg +FOLFIRI/bev (n=18) Objective R",https://www.sec.gov/Archives/edgar/data/1213037/0001193125-26-024375.txt,1
INMB,0001711754,8-K,2026-01-27,0001213900-26-008204,EX-99.1,TOPLINE,0.7000000000000001,"the next study, and we are working with the FDA to define an appropriate registrational development path informed by these data. &nbsp; Of note, there are precedents where a Phase 2 program in Alzheimer&rsquo;s disease did not meet its primary endpoint yet demonstrated clinically meaningful signals that informed subsequent successful development and approval. For example, lecanemab&rsquo;s Phase 2b BAN2401 program did not meet its 12-month Bayesia",https://www.sec.gov/Archives/edgar/data/1711754/0001213900-26-008204.txt,4
CRDF,0001213037,8-K,2026-01-27,0001193125-26-024375,8-K,ADCOM,0.7,"search analyst covering the biotechnology sector at UBS, Credit Suisse, and ThinkEquity. She currently serves on the Executive Advisory Board of the CLP Institute at Northwestern University and the Scientific Investment Advisory Committee of the Gates Institute at the University of Colorado. Dr. Mohindru holds a PhD in Neurosciences from Northwestern University, as well as a BS in Human Biology and a Master&#8217;s degree in Biotechnology from the All In",https://www.sec.gov/Archives/edgar/data/1213037/0001193125-26-024375.txt,1
MIRM,0001759425,8-K,2026-01-26,0001193125-26-022582,EX-99.1,NDA_BLA_SUBMISSION,0.75,"irologic and biochemical response. Together, the studies are intended to support regulatory filings in the United States and Europe. Topline data from the program are expected in the second half of 2026 with a potential BLA submission and launch in 2027. About Chronic Hepatitis Delta Virus (HDV) HDV, a coinfection that occurs in some people infected with the hepatitis B virus, is the most severe form of viral hepatitis due to the potential for rapid",https://www.sec.gov/Archives/edgar/data/1759425/0001193125-26-022582.txt,2
MIRM,0001759425,8-K,2026-01-26,0001193125-26-022582,EX-99.1,TOPLINE,0.7000000000000001,"s. Brelovitug has received Breakthrough Therapy designation from the FDA and PRIME designation from the European Medicines Agency and is currently being evaluated in the global AZURE Phase 3 registrational program, with topline data expected in the second half of 2026. &#8220;With the acquisition now complete, our focus shifts to execution &#8211; adding the talented Bluejay team to Mirum as we complete the AZURE Phase 3 program and prepare fo",https://www.sec.gov/Archives/edgar/data/1759425/0001193125-26-022582.txt,4
BCRX,0000882796,8-K,2026-01-23,0001140361-26-002200,EX-99.1,CLINICAL_HOLD,0.9,"y result in delay of planned clinical trials, may not review regulatory filings on our expected timeline, may impose certain restrictions, warnings, or other requirements on products and product candidates, may impose a clinical hold with respect to product candidates, or may withhold, delay or withdraw market approval for products and product candidates; product candidates, if approved, may not achieve market acceptance; BioCryst&#8217;s ability to",https://www.sec.gov/Archives/edgar/data/882796/0001140361-26-002200.txt,1
KALA,0001479419,8-K,2026-01-23,0001829126-26-000502,8-K,TOPLINE,0.65,"Department of the Nasdaq Stock Market indicating that, based upon the closing bid price of the Company&#8217;s common stock for the 30 consecutive business days between December 3, 2025, to January 16, 2026, the Company did not meet the minimum bid price of $1.00 per share required for continued listing on The Nasdaq Capital Market (&#8220; Nasdaq &#8221;) pursuant to Nasdaq Listing Rule 5550(a)(2). The letter also indicated that the Company will b",https://www.sec.gov/Archives/edgar/data/1479419/0001829126-26-000502.txt,1
EKSO,0001549084,8-K,2026-01-22,0001437749-26-001774,EX-99.1,CLINICAL_HOLD,0.9,"ii) withdraws its approval of, requests the recall, suspension, or seizure of, or withdraws or orders the withdrawal of advertising or sales promotional materials relating to, any Pharmaceutical Product, (iii) imposes a clinical hold on any clinical investigation by the Company or any of the Company Subsidiaries, (iv) enjoins production at any facility of the Company or any of the Company Subsidiaries, (v) enters or proposes to enter into a consent",https://www.sec.gov/Archives/edgar/data/1549084/0001437749-26-001774.txt,1
CORT,0001088856,8-K,2026-01-22,0001193125-26-018704,EX-99.1,PDUFA,0.8500000000000001,"gnated an orphan drug by the FDA and the&nbsp;European Commission&nbsp;(EC) for the treatment of hypercortisolism and by the EC for the treatment of ovarian cancer. The FDA has assigned a Prescription Drug User Fee Act (PDUFA) date of&nbsp;July 11, 2026&nbsp;for relacorilant as a treatment for patients with platinum-resistant ovarian cancer. Corcept also submitted a Marketing Authorization Application (MAA) to the&nbsp;European Medicines Age",https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt,5
BIOA,0001709941,8-K,2026-01-22,0001193125-26-019536,EX-99.1,TOPLINE,0.7000000000000001,"roduct candidate, BGE-102, is a potent, orally available, brain-penetrant small-molecule NLRP3 inhibitor being developed for cardiovascular risk and retinal diseases. A Phase 1 SAD/MAD trial of BGE-102 is underway, with topline data including additional MAD cohorts anticipated in 1H26. The Company is also developing long-acting injectable and oral small molecule APJ agonists for obesity. BioAge&#x2019;s additional preclinical programs, which l",https://www.sec.gov/Archives/edgar/data/1709941/0001193125-26-019536.txt,1
CORT,0001088856,8-K,2026-01-22,0001193125-26-018704,EX-99.1,TOPLINE,0.7000000000000001,"arable to those in the nab-paclitaxel monotherapy arm. Relacorilant conferred its benefit without increasing the safety burden of the patients who received it. Corcept previously announced that&nbsp;ROSELLA also met its primary endpoint of improved progression-free survival, as assessed by blinded independent central review (PFS-BICR).&nbsp;Patients who received relacorilant in addition to nab-paclitaxel experienced a 30&nbsp;percent reduction in the r",https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt,3
PDSB,0001472091,8-K,2026-01-22,0001140361-26-001958,EX-99.1,TOPLINE,0.7000000000000001,Administration (&#8220;FDA&#8221;) for the clinical trial that would provide the basis for accelerated approval of PDS0101. The amendment proposes changing the progression free survival (&#8220;PFS&#8221;) endpoint to a primary endpoint that can be evaluated earlier with significant statistical power. Median overall survival (&#8220;mOS&#8221;) remains the primary endpoint for full approval as originally recommended by FDA. About PDS Biotechnology PDS,https://www.sec.gov/Archives/edgar/data/1472091/0001140361-26-001958.txt,2
REVB,0001810560,8-K,2026-01-22,0001193125-26-018332,EX-99.1,TOPLINE,0.7000000000000001,regimens vs placebo and part 2 will be conducted as a Phase 3 study using the safest dosing regimen identified in part 1. Data from both part 1 and part 2 can be used in the primary and secondary endpoint analyses. The primary endpoint will be a composite of measures including death and/or the need for dialysis. &#160; The American Hospital Association states that approximately 34 million people are admitted to US hospitals each year. It was found tha,https://www.sec.gov/Archives/edgar/data/1810560/0001193125-26-018332.txt,1
CORT,0001088856,8-K,2026-01-22,0001193125-26-018704,8-K,TOPLINE,0.65,"ny&#8221;) issued a press release announcing that ROSELLA, the Company&#8217;s pivotal Phase 3 trial of relacorilant plus nab-paclitaxel to treat patients with platinum-resistant ovarian cancer, met its overall survival primary endpoint. The press release is attached hereto as Exhibit 99.1 and is incorporated herein by reference. &#160; Item&#8201;9.01. Financial Statements and Exhibits (d) Exhibits &#160; Exhibits No. &#160;&#160; Description 99.1 &#1",https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt,1
BIOA,0001709941,8-K,2026-01-20,0001193125-26-016046,EX-99.1,TOPLINE,0.7000000000000001,"roduct candidate, BGE-102, is a potent, orally available, brain-penetrant small-molecule NLRP3 inhibitor being developed for cardiovascular risk and retinal diseases. A Phase 1 SAD/MAD trial of BGE-102 is underway, with topline data including additional MAD cohorts anticipated in 1H26. The Company is also developing long-acting injectable and oral small molecule APJ agonists for obesity. BioAge&#x2019;s &#160; additional preclinical programs,",https://www.sec.gov/Archives/edgar/data/1709941/0001193125-26-016046.txt,2
COYA,0001835022,8-K,2026-01-20,0001193125-26-016017,8-K,TOPLINE,0.65,"a letter to its stockholders wherein it announced its cash balance as of December&#160;31, 2025 was $46.8&#160;million (unaudited) with projected cash runway into the second half of 2027, and that the Company expects a topline data readout from its current ALSTARS Phase 2 trial in the first quarter of 2027. SIGNATURES Pursuant to the requirements of the Securities Exchange Act of 1934, the registrant has duly caused this report to be signed o",https://www.sec.gov/Archives/edgar/data/1835022/0001193125-26-016017.txt,1
NBY,0001389545,8-K,2026-01-16,0001437749-26-001459,EX-99.1,ADCOM,0.75,"gital Asset Strategy Advisory Committee, consisting of Michael Kazley and at least one other advisor, must first approve and the investors in the Private Placement must consent to such change. The Digital Asset Strategy Advisory Committee with then recommend to the Board of Directors the change in strategy for its approval. &nbsp; The price of SKY is determined in network-based markets by supply and demand among market participants, including individuals",https://www.sec.gov/Archives/edgar/data/1389545/0001437749-26-001459.txt,4
TVRD,0001346830,8-K,2026-01-16,0001104659-26-004273,EX-99.1,TOPLINE,0.7000000000000001,cation Preclinical Phase 1 Phase 2 Phase 3 Anticipated Milestone TTI-101 Idiopathic Pulmonary Fibrosis Topline Data Reported Oct 2025 Additional Data Reported Jan 2026 TTI-101 Hepatocellular Carcinoma 1H:2026 Phase 1b/2 topline data TTI-109 Fibrosis-driven Disease1 1H:2026 Phase 1 Healthy Volunteer data TTI-101 in IPF Well-Established Target 1. Pedroza et al. Rheum. 2017: SSc: Systemic Sclerosis; Genetically engineered model (GEM) of Tight ski,https://www.sec.gov/Archives/edgar/data/1346830/0001104659-26-004273.txt,6
